horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
12 days,146.81378511720195,12.116673847108453,8.039120616688765,0.14009242432829744,0.07292883337136606,0.12627702559978493,0.397280355879082,12,2024-07-13
13 days,150.89374222700906,12.28388139909406,8.165182309994146,0.14263916223746037,0.07364081083084635,0.1284462734557346,0.39464553881207604,13,2024-07-14
14 days,156.61858873571742,12.514734864779095,8.369808556546921,0.14633315371650624,0.07711151337251822,0.13166935437329003,0.389052871420434,14,2024-07-15
15 days,161.4139366227142,12.704878457612816,8.55936828392113,0.14946123206947068,0.08236373622235371,0.13455130479731306,0.3791932059447983,15,2024-07-16
16 days,168.78365635072427,12.991676425724444,8.845776362841324,0.15606666976373257,0.08459199154028833,0.1393657692079217,0.36973745533633684,16,2024-07-17
17 days,173.85543264432135,13.185425008103506,9.098037352798322,0.15873185838752935,0.08971152904641105,0.14292691571208144,0.35430583605199106,17,2024-07-18
18 days,175.78398073970877,13.258355129491319,9.239586433439568,0.15743609427716768,0.09253076120957583,0.14392902585788866,0.33802659515029615,18,2024-07-19
19 days,171.24666932417483,13.08612506910181,9.186523467755132,0.15216421537076236,0.09253076120957583,0.14207893038301492,0.32939035486806184,19,2024-07-20
20 days,172.03150935417176,13.116078276457936,9.268197347340083,0.15319548163897687,0.0933007769859611,0.1441553542658462,0.3232872456113096,20,2024-07-21
21 days,173.9805872782701,13.190170100429716,9.363652052809337,0.15545344724159224,0.0946687687799143,0.14693280822553673,0.3174097664543524,21,2024-07-22
22 days,177.12512151631233,13.308836219456317,9.46955444409539,0.15889629547461773,0.09594220411045287,0.1490283518097783,0.310031847133758,22,2024-07-23
23 days,181.7724165911371,13.48230012242485,9.625690621629673,0.16455075084886678,0.09594220411045287,0.15245470139763734,0.316296411371757,23,2024-07-24
24 days,190.08906414983684,13.787279069846843,9.862915512762513,0.17067803340162765,0.09754069658610111,0.1571409914539513,0.3240786107028145,24,2024-07-25
25 days,192.39054543462643,13.870491895914379,9.960728263976105,0.17005413728173824,0.09906011698875067,0.1583497225921246,0.33121019108280253,25,2024-07-26
26 days,190.2360887435344,13.792609932262073,9.868325908776775,0.16617531689463416,0.09610285090050327,0.15622213910714092,0.346072186836518,26,2024-07-27
27 days,191.01085605102926,13.820667713646445,9.825174490106049,0.16776100925634244,0.0946687687799143,0.15646216839995494,0.3640930039873647,27,2024-07-28
28 days,197.51110958688795,14.053864578360216,9.928024873567049,0.1773970773435628,0.09426716631038018,0.15977160584318068,0.3749158510693387,28,2024-07-29
29 days,204.01323376785936,14.283320124111878,10.024479937789874,0.18481334103454766,0.09282266371321196,0.1629948666098159,0.38396211007675973,29,2024-07-30
30 days,209.78240467324648,14.483867048314359,10.12024891654392,0.1913073091260006,0.09196790615928237,0.1656819548563851,0.39660297239915077,30,2024-07-31
31 days,219.52573317912416,14.816400817307965,10.364343434706777,0.19919277038376929,0.0933007769859611,0.17090321073232134,0.4024131324115789,31,2024-08-01
32 days,222.7108225585794,14.92349900521253,10.467849517428299,0.1982502555034048,0.09594220411045287,0.17200793151376725,0.4089057210076318,32,2024-08-02
